stomich ake	271681002
genitals and lips excruciating	162076009
burning feet	36031001
cpk was elevated	166717003
thining hair	278040002
i can't stand or walk for any lengths of time	8510008
malaisse	367391008
mild cramping	55300003
constant pain shoulders	426206001
liver damage	235856003
minor joint soreness	57676002
muscle weakness	26544005
muscle spasm	55300003
very grouchy	55929007
terrible pain in hips	49218002
severe joint aches	57676002
severe cramps in toes	102551008
pain in back	161891005
weakness in both arms	309774006
put weight on suddenly for no reason	8943002
difficult to concentrate	26329005
lower back is also tight	250069006
pain in arms	102556003
windy	267052005
insomina	193462001
feet pain	47933007
gi distress	162076009
muscle weakness in my left arm	309774006
painful time lifting my own arm	425423002
excrutiation pain throughout my entire body	67849003
muscle wasting in the shoulders	88092000
unable to even climb 1 flight of stairs	165247006
tingling in my arms	62507009
spikes of pain so severe	76948002
hert from head to my toe	82991003
difficulties to swallow	288939007
general muscle weakness	162076009
lassitude	13791008
wrong with my liver	235856003
passing blood and clots with stoals	405729008
stiff upper leg	225609009
difficulty sleeping	301345002
pain in hands	53057004
nagging muscle pain between and just below my shoulder blades	288226003
vomitting	422400008
tingling in side of face	62507009
persistent pain in calf	300954003
laziness	277521002
shin pain	10601006
severe pain	76948002
ill feeling	367391008
tremor	26079004
severe headache	25064002
heart attacks	22298006
rhuematoid arthritis	69896004
stomache aches	271681002
mini-strokes	230690007
difficult to keep balance	387603000
rheumatoid arthriitis	69896004
struggling walking too far	228158008
pain in the lower legs	300954003
chest pain	29857009
tingling in feet	62507009
hurt every where	82991003
thigh pain	78514002
lightheadedness	386705008
weakness in knees	309774006
increase in sleep requirement	77692006
hips ache	49218002
pain in my stomach	21522001
ibuprofen 400 mg	21885011000036105
numbness in my hands	309521004
increased menstruation	386692008
pain in my shoulder	45326000
sore neck	81680005
gerd	162076009
cramps in my feet	102551008
live damage	235856003
muscle pain in the lower back	279039007
severe uterine cramping	29542008
lowering of energy	248274002
weakness in thighs	309774006
tingling in legs	429783005
pain in their toes	285365001
gi hemmorage	162076009
neck pain	81680005
pain in my hip	49218002
muscle pain in the legs	288231001
tiredness is at a high level	224960004
lack of concentration	60032008
muscle achs	68962001
diarrea	62315008
little blurred vision	246636008
knee pain	30989003
dragging legs	228158008
low energy	248274002
muscle degenerating	88092000
slightly elevated cpk	166717003
lack of attention	79890006
vomiting	422400008
cramping in my lower legs	449918009
hair losss	278040002
spasms in upper thighs	45352006
miocardial infarction	22298006
serious pain	76948002
arthritice	3723001
muscle fatigue in my forearms	80449002
mentally weaker	419723007
muscle twitching	60238002
insomia	193462001
hurt	22253000
exhaustion after exercise	267044007
tremors although the body	26079004
pain from the headache	25064002
light-headedness feeling	386705008
in the triceps arm fatigue	80449002
tight chest	23924001
shroke	230690007
pain is so intense	76948002
vomited	422400008
extreme fatigued	13791008
numbness hands	309521004
very sore muscle pain in both shoulders	288226003
could hardly walk	228158008
difficulty swallowing	288939007
calves muscle pain in the	300954003
liver enzymes were very elevated	166643006
direar	62315008
heavy legs	161873000
tingling	62507009
thigh soreness	78514002
severe headaces	25064002
tylenol pm	3080011000036109
tylenol 3	3080011000036109
numbness in left foot	309538000
nauseous	422587007
memory failure	386807006
itch	418290006
pain in both knees	30989003
tingling in extremities	62507009
general weakness in my hands	162076009
muscle atrophy	88092000
extremely fatigued	13791008
muscle pains	68962001
not concentrating well	60032008
spasms in leg muscles	449917004
elevated cpk levels	166717003
severe leg cramping	449917004
legs are very weak	80449002
charlie horses	54981004
severe pain in arm	102556003
pain in elbow	74323005
pain in both elbows	74323005
vision problems - seeing two or three of everything	63102001
weakness in my right arm	309774006
hard time sleeping	301345002
uncontrollable gas	267052005
legs ache	10601006
flu like synptoms	95891005
irregular cramping	55300003
twitching around my mouth	249966004
muscle ache	68962001
thighs sore	78514002
problems with various muscles	129565002
loss of strength	26544005
tendonits	34840004
charley horses in the abdomen	54981004
poor sleep	301345002
aggitation	24199005
rash on upper left torso	271807003
reduced mental capabiities	386806002
pain in my hipjoints	49218002
tremendous neck pain	81680005
turning in bed is painful	425423002
cortozone injections	21779011000036103
pain in the back	161891005
couldn't sleep at night	248255005
pain pain pain	22253000
toe cramping	449917004
could not even walk in the morning	228158008
tingling hands	309086004
legs felt like they had run a marathon	80449002
feeling like my mind is fading away	419723007
general weakness	162076009
stiffness in my feet	225609009
coenzyme10	77424011000036100
liver enzymes to rise	166643006
i didn't feel right	367391008
severe muscle aches	68962001
muscels hurts	68962001
needed to rest every few minutes	84229001
have no energy	248274002
sore	68962001
high sleep requirement	77692006
heart problems	56265001
tightness in my throat	247323005
elbows would burn like fire	90673000
palpatations	80313002
my heart rate jumped to 106	3424008
resting pulse had jumped to about 120	86651002
thinning hair	278040002
rashes appear	271807003
spike in my blood sugar	166892002
burning back pain	161891005
constant back pain	161891005
pain in shoulders joints	45326000
shoulder muscle pain	288226003
difficulty walking due to swelling in legs	228158008
cramping in calves	250084002
wild mood swings	18963009
red spots all over my body	271807003
muddled thinking	247640008
gets tired a lot	162076009
weakness in hips	309774006
painful heels	2733002
restlessness in my legs	32914008
cq10	77424011000036100
severe back spasm	203095000
charley horses in abdomen	54981004
cortisone shots	21779011000036103
sinivastatin	21242011000036102
feeling in a fog	419723007
muscle aching	68962001
depressions	35489007
period cramps	431416001
tinnitus	60862001
loss of vison	63102001
pain in my lower legs and feet	10601006
muscle spasms	55300003
starting to upset my stomach	271681002
mussel weakness	26544005
terrible pains in big toe	285365001
muscle twitching in both arms	60238002
stomach upsets	162059005
simvostatin	21242011000036102
back pain	161891005
leg joint pain similar to arthritis	267953003
lost all strength	26544005
in forearms tightness	250069006
elevated cholesterol	166830008
sick to my stomach	162059005
rheumatoid arthtitis	69896004
throbbing,burning sensation	90673000
terrible charlie horses	54981004
tingling legs	62507009
muscles slightly sore	68962001
gastrointestinal cramping	162076009
ubiquinol	77424011000036100
fuzzy vision	246636008
muscle disintegration/degeneration	88092000
fluey feelings	95891005
diarreha	62315008
tighening of the chest	23924001
diarrhoea	62315008
weakness in leg muscles	309774006
could'nt walk	228158008
pain in my thighs (muscle cramping)	288230000
diarrhoa	62315008
slight flush	238810007
muscle damage	129565002
pain in the leg	10601006
muscles cramp	55300003
eye sight appeared foggy	246636008
high blood pressure	24184005
insomnia	193462001
i feel like i'm in a fog	419723007
back muscle pain in the	161891005
sore leg joints	267953003
weak & wobbley ankles	309774006
sick to stomach	162059005
diahrrea	62315008
itching	418290006
severn calf cramps	250084002
extreme fatigue	13791008
backache	161891005
weak all the time	13791008
diarreah	62315008
weight increase	262286000
irritability	55929007
trouble swallowing	288939007
lack of appetite	79890006
joint pain in thighs	49218002
numbness in toes	309538000
very confused	40917007
heart desease	56265001
itchy	418290006
balance problems	387603000
numbness in my feet	309538000
super dry skin	16386004
feet joint pain similar to arthritis	57676002
blurry vision	246636008
loss of muscle strength	26544005
pain in shoulders	45326000
strange poisen-ivy like rash on chest and breast	271807003
muscle spasms in leg	449917004
inability to sleep well	301345002
weakness in both legs	309774006
falling asleep all the time	77692006
tired all the time	224960004
tendon pain	21545007
soreness in thighs	78514002
loss of interest in life	277521002
lost some memory	386807006
my hips hurt on both sides	49218002
high bp	24184005
muscle cramps in ribs	203095000
tiredness in leg	80449002
right foot hurts	47933007
severe myalgia	68962001
frequent headaches	25064002
severe nausea	422587007
muscle aches in my legs	288231001
arm pain	102556003
cholesterol went up	166830008
increased bp	24184005
memory impaired	386807006
palpitations	80313002
weaker	13791008
tingling of feet	62507009
stomach cramping	51197009
sleep is not very sound	301345002
dizzyness	404640003
weak feeling	13791008
poor concentration	26329005
stiffness similar to arthritis	271587009
charlie horse in feet	54981004
pain in the legs	10601006
shouldar ache	45326000
feeling exausted	84229001
vision problems	63102001
gastric problems	162076009
mild cramps	55300003
stomach upset	162059005
tinnitus in my left ear	60862001
lower back ache	279039007
extreme fatique	13791008
gasto discomfort	162076009
swelling face	278528006
hair is getting very thin	278040002
frequently unable to think clearly	247640008
wicked back pain	161891005
everything on my body hurts	82991003
so weak	13791008
terrible pain in my feet	47933007
blurring eyesight	246636008
thinking problems	26329005
dizziness (fainting spells)	404640003
myocardial infarction	22298006
genetically high ldl	162076009
bleeding problems	131148009
pain in my hands	53057004
stroke	230690007
week	13791008
lack of ability to concentrate	60032008
severe sudden onset headache in the back of head	25064002
face looks puffy	278528006
very painful feet	47933007
horrible gas	267052005
pain in muscles	68962001
mood change	18963009
unexplained fatigue	84229001
tingling in my shins	62507009
pain in hand	53057004
soreness in shoulders	45326000
parkinsons	49049000
terrible abdominal pain	21522001
burning sensations	90673000
flu-like symtoms	95891005
muscle cramping	55300003
pain in arm	102556003
sleep loss	301345002
very irritable	55929007
when i went to sit down instead of sitng normaly i would almost fall down in the chair no control no strength, upon getting up i had to hold on to something to get up	26544005
persistent pain in knee	30989003
terrible muscle pain	68962001
persisten feeling of tiredness	267032009
heavy menstral bleeding with clots even though i had just finished my cycle a week before	386692008
moody	286641001
terrible musche aches	68962001
mental fog	419723007
no amount of sleep makes me feel rested	77692006
so tired	224960004
charley horses in feet	54981004
unable to walk	282145008
joint soreness	57676002
severe acid reflux	698065002
loss of energy	248274002
restricted movement	70733008
unable to get out of bed	301676004
hair loss (diffuse alopecia)	278040002
lost my ability to walk	282145008
lousy sleeping at night	301345002
pain was too severe	76948002
mild aches	82991003
loss of stamina	248277009
short term memory loss	247592009
drowsy	271782001
muscles pains	68962001
charley horses in breasts	54981004
chest hurt	29857009
muscular pain in the back	161891005
knee hurt	30989003
neurophathy	386033004
lower legs hurt	10601006
elbow painful	74323005
joint pain	57676002
joint discomfort	57676002
hurts to get out of a chair	425423002
inflammation of my joints	3723001
stiff	271587009
problems with balance	387603000
strength decrease dramatically	26544005
neck muscle pain	81680005
not motivated to do anything	277521002
short term memory issues	247592009
elevated my blood glucose levels	166892002
vomit	422400008
stiffness	271587009
reduced stamina	248277009
restless leg syndrome	32914008
burning in the soles of my feet	36031001
weird toe tingling	62507009
fell asleep while driving	77692006
