soreness of muscles	68962001
very bad headaches	25064002
complete body flushes (like a hot flash without the hot)	238810007
not as sharp mentally	419723007
fatigue, increased	84229001
aches and pains in my back	161891005
pain in both elbows	74323005
tingling sensation in the back of my neck	62507009
cpk mildly elevated	166717003
bottoms of my feet hurt	47933007
pain in my hipjoints	49218002
i feel like i've been run over by a truck	102480002
pain trying to walk	426899007
ibu	21885011000036105
lousy sleeping at night	301345002
muscles slightly sore	68962001
stomach trouble, or cramps	51197009
sore knees	30989003
all-over muscle pain	68962001
elbow pain	74323005
shrinking muscels neck	88092000
in both legs weakness	309774006
muscle pain in the shoulder	288226003
damaged my liver	235856003
charley horse in my side	54981004
gas pains in abdomen	271832001
malaise	367391008
increased bp	24184005
big time depression	35489007
numbness in my shoulder	298753001
severe muscle aces	68962001
aches in hands	53057004
stomach upset	162059005
myopathies	129565002
damage to my muscles	129565002
low energy	248274002
leg muscle discomfort	68962001
mental fog	419723007
impaired my ability to exercise	267044007
weak feeling	13791008
tightness in my throat	247323005
blury vision	246636008
not as smart as i use to be	419723007
inflamatory muscle pain	68962001
heels hurt	2733002
pain when i sit down or stand from a sitting position	425423002
couldn't remember where i left my dog 10 minutes before	386807006
muscles in my chest started aching	68962001
bled heavily	131148009
ache all over	82991003
weakness in leg muscles	309774006
blinding headaches	25064002
pain was too severe	76948002
memory lapses	386807006
sore weak muscles	68962001
no energy all day	248274002
no motivation	277521002
sleeplesness	193462001
constant itching	418290006
so much pain	76948002
persistent triedness	267032009
sore back	161891005
persistent feeling of tiredness	267032009
heart attach	22298006
lipior	3877011000036101
muscle soreness in my forearms	288228002
emotional changes	18963009
last straw was ringing in the ears	162352007
elevated liver enzymes	166643006
leg muscle inflamed	288231001
constant pins and needles in the ball of the foot	62507009
severe colon cramping	9991008
pins and needles	62507009
bearly walk	228158008
cramping in my stomach	51197009
ache	22253000
leg calf cramps	250084002
muscles are like boards they're so tight	250069006
cramping in my hands	250082003
persistent dry skin spots	16386004
thining hair	278040002
flu-like symtoms	95891005
very severe pain in arms	102556003
muscle pain in hip	49218002
passing blood and clots with stoals	405729008
wrong with my liver	235856003
thigh pain	78514002
general depression	162076009
severn leg cramps	449917004
plantar fasciatis	202882003
struggling walking too far	228158008
pain was unbearable	67849003
diarria	62315008
agitation	24199005
weakness	13791008
athritic pain	57676002
muscle pain in the legs	288231001
eye sight changes	63102001
forgetfulness	55533009
lower tendon pain	21545007
severe muscle weakness	26544005
worse migraines	37796009
pain neck	81680005
serious pain	76948002
drowsiness	271782001
developed sore legs	10601006
numbness in my hands	309521004
forgetfullness	55533009
mild insomnia	193462001
reduced stamina	248277009
can't get out of bed	301676004
felt weak	13791008
severe burning of the feet	36031001
fatigue in legs	80449002
muscle twitching on bottom of feet	60238002
horrible fatigue	84229001
concentration is worse than ever	26329005
cramping events in my legs	449917004
skin is so dry	16386004
rashes appear	271807003
general malaise	367391008
whole body hurts	82991003
pains in my hip	49218002
general muscle weakness	162076009
legs were hurting too much	10601006
soreness	22253000
general malaise	162076009
tingling in feet	62507009
severe muscle back cramp	55300003
pravochol	3848011000036104
head has been twitching	249966004
decreased libido	8357008
wind	267052005
numbness in muscles	44077006
spikes of pain so severe	76948002
server pain	76948002
hideously increased muscle tension	250069006
severe pains	76948002
heart attact	22298006
painful stomach cramps	51197009
night muscle cramps	55300003
"""back labor"" pains"	161891005
burning	90673000
red spots all over my body	271807003
pain in my hips	49218002
very sore neck	81680005
stomach irritation	162059005
hair fell out	278040002
make me so tired	224960004
weariness of the leg muscles	80449002
